elec_pos,depth,rho,cond
92.25,7.201,118.55,0.008435
93.75,7.201,117.73,0.008494
95.25,7.201,118.36,0.008449
96.75,7.201,119.16,0.008392
98.25,7.201,119.51,0.008368
99.75,7.201,119.05,0.0084
101.25,7.201,115.37,0.008668
102.75,7.201,111.85,0.008941
104.25,7.201,108.28,0.009235
105.75,7.201,103.88,0.009626
107.25,7.201,97.364,0.0103
108.75,7.201,89.851,0.0111
110.25,7.201,81.548,0.0123
111.75,7.201,74.098,0.0135
113.25,7.201,68.281,0.0146
114.75,7.201,64.475,0.0155
116.25,7.201,62.494,0.016
117.75,7.201,61.139,0.0164
119.25,7.201,60.305,0.0166
0.75,8.596,145.6,0.006868
2.25,8.596,143.12,0.006987
3.75,8.596,134.43,0.007439
5.25,8.596,126.49,0.007906
6.75,8.596,119.29,0.008383
8.25,8.596,111.67,0.008955
9.75,8.596,103.72,0.009641
11.25,8.596,96.223,0.0104
12.75,8.596,90.424,0.0111
14.25,8.596,87.892,0.0114
15.75,8.596,87.404,0.0114
17.25,8.596,87.391,0.0114
18.75,8.596,88.027,0.0114
20.25,8.596,92.18,0.0108
21.75,8.596,104.48,0.009571
23.25,8.596,122.47,0.008165
24.75,8.596,133.18,0.007509
26.25,8.596,134.19,0.007452
27.75,8.596,133.16,0.00751
29.25,8.596,132.68,0.007537
30.75,8.596,132.18,0.007565
32.25,8.596,131.77,0.007589
33.75,8.596,131.6,0.007599
35.25,8.596,124.76,0.008015
36.75,8.596,125.27,0.007983
38.25,8.596,126.32,0.007916
39.75,8.596,130.81,0.007645
41.25,8.596,143.32,0.006977
42.75,8.596,155.99,0.006411
44.25,8.596,161.37,0.006197
45.75,8.596,161.03,0.00621
47.25,8.596,160.11,0.006246
48.75,8.596,159.17,0.006283
50.25,8.596,156.61,0.006385
51.75,8.596,151.29,0.00661
53.25,8.596,144.85,0.006904
54.75,8.596,140.19,0.007133
56.25,8.596,137.37,0.00728
57.75,8.596,134.21,0.007451
59.25,8.596,133.61,0.007484
60.75,8.596,134.65,0.007427
62.25,8.596,135.74,0.007367
63.75,8.596,151.36,0.006607
65.25,8.596,184.94,0.005407
66.75,8.596,209.13,0.004782
68.25,8.596,222.58,0.004493
69.75,8.596,226.23,0.00442
71.25,8.596,229.05,0.004366
72.75,8.596,232.58,0.0043
74.25,8.596,237.72,0.004207
75.75,8.596,238.52,0.004193
77.25,8.596,240.48,0.004158
78.75,8.596,241.58,0.004139
80.25,8.596,241.33,0.004144
81.75,8.596,238.21,0.004198
83.25,8.596,227.56,0.004394
84.75,8.596,205.32,0.00487
86.25,8.596,181.52,0.005509
87.75,8.596,154.07,0.006491
89.25,8.596,133.46,0.007493
90.75,8.596,122.26,0.008179
92.25,8.596,117.37,0.00852
93.75,8.596,116.88,0.008556
95.25,8.596,116.74,0.008566
96.75,8.596,116.94,0.008551
98.25,8.596,116.98,0.008548
99.75,8.596,116.55,0.00858
101.25,8.596,115.29,0.008674
102.75,8.596,113.44,0.008815
104.25,8.596,110.63,0.009039
105.75,8.596,105.54,0.009475
107.25,8.596,98.379,0.0102
108.75,8.596,92.649,0.0108
110.25,8.596,84.547,0.0118
111.75,8.596,76.014,0.0132
113.25,8.596,69.012,0.0145
114.75,8.596,64.518,0.0155
116.25,8.596,62.211,0.0161
117.75,8.596,60.9,0.0164
119.25,8.596,60.337,0.0166
0.75,10.131,138.84,0.007203
2.25,10.131,138.27,0.007232
3.75,10.131,133.05,0.007516
5.25,10.131,125.81,0.007948
6.75,10.131,118.88,0.008412
8.25,10.131,111.3,0.008985
9.75,10.131,103.33,0.009678
11.25,10.131,95.822,0.0104
12.75,10.131,90.098,0.0111
14.25,10.131,87.633,0.0114
15.75,10.131,87.245,0.0115
17.25,10.131,87.328,0.0115
18.75,10.131,87.89,0.0114
20.25,10.131,91.311,0.011
21.75,10.131,100.26,0.009974
23.25,10.131,110.62,0.00904
24.75,10.131,116.48,0.008585
26.25,10.131,118.46,0.008442
27.75,10.131,118.8,0.008418
29.25,10.131,118.87,0.008413
30.75,10.131,118.91,0.00841
32.25,10.131,119.41,0.008375
33.75,10.131,120.59,0.008293
35.25,10.131,120.94,0.008269
36.75,10.131,122.17,0.008185
38.25,10.131,124.7,0.008019
39.75,10.131,133.18,0.007509
41.25,10.131,143.07,0.00699
42.75,10.131,155.37,0.006436
44.25,10.131,163.6,0.006112
45.75,10.131,165.03,0.00606
47.25,10.131,165.8,0.006031
48.75,10.131,165.94,0.006026
50.25,10.131,163.91,0.006101
51.75,10.131,159.48,0.00627
53.25,10.131,154.65,0.006466
54.75,10.131,150.17,0.006659
56.25,10.131,145.71,0.006863
57.75,10.131,139.28,0.00718
59.25,10.131,134.5,0.007435
60.75,10.131,132.93,0.007523
62.25,10.131,132.92,0.007523
63.75,10.131,133.92,0.007467
65.25,10.131,134.41,0.00744
66.75,10.131,136.79,0.00731
68.25,10.131,140.32,0.007127
69.75,10.131,143.39,0.006974
71.25,10.131,145.22,0.006886
72.75,10.131,151.38,0.006606
74.25,10.131,163.74,0.006107
75.75,10.131,180.91,0.005528
77.25,10.131,199.05,0.005024
78.75,10.131,209.51,0.004773
80.25,10.131,211.87,0.00472
81.75,10.131,212.37,0.004709
83.25,10.131,211.03,0.004739
84.75,10.131,201.03,0.004974
86.25,10.131,180.4,0.005543
87.75,10.131,153.09,0.006532
89.25,10.131,132.65,0.007539
90.75,10.131,119.38,0.008377
92.25,10.131,111.48,0.00897
93.75,10.131,107.74,0.009282
95.25,10.131,106.46,0.009393
96.75,10.131,106.52,0.009388
98.25,10.131,107.15,0.009333
99.75,10.131,107.64,0.00929
101.25,10.131,107.82,0.009275
102.75,10.131,107.72,0.009283
104.25,10.131,107.18,0.00933
105.75,10.131,105.09,0.009516
107.25,10.131,100.32,0.009968
108.75,10.131,93.49,0.0107
110.25,10.131,84.96,0.0118
111.75,10.131,75.987,0.0132
113.25,10.131,68.655,0.0146
114.75,10.131,63.922,0.0156
116.25,10.131,61.201,0.0163
117.75,10.131,60.079,0.0166
119.25,10.131,59.759,0.0167
0.75,11.819,130.41,0.007668
2.25,11.819,130.25,0.007678
3.75,11.819,128.58,0.007777
5.25,11.819,124.23,0.00805
6.75,11.819,118.01,0.008474
8.25,11.819,110.63,0.009039
9.75,11.819,102.71,0.009736
11.25,11.819,95.062,0.0105
12.75,11.819,89.025,0.0112
14.25,11.819,86.085,0.0116
15.75,11.819,85.549,0.0117
17.25,11.819,85.706,0.0117
18.75,11.819,86.188,0.0116
20.25,11.819,87.071,0.0115
21.75,11.819,88.801,0.0113
23.25,11.819,91.026,0.011
24.75,11.819,92.407,0.0108
26.25,11.819,93.465,0.0107
27.75,11.819,94.505,0.0106
